report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,first_harmful_event,harmful_event_location,other1,tallahassee_democrat,wtxl
87505312,2019,2019-04-03 16:42,14,2,3,Thomasville Rd,,,,0,,,KIMMER ROWE DR,,3,14,1,EC2,,
87505305,2019,2019-04-03 16:45,13,1,2,RANCH RD,,,,315,,W,LOUVINIA RD,,8,13,10,EC2,,
89139884,2019,2019-04-03 17:00,14,2,6,Holton St,,30.419896,-84.296195,5,,S,CAMPBELL ST,,5,14,1,EC2,,
89139894,2019,2019-04-03 17:00,37,1,1,CENTRAL ST,1320,30.45708,-84.291058,,,,,,9,37,8,EC2,,
87505306,2019,2019-04-03 17:20,14,2,2,W Orange Ave,,,,1320,,E,SPRINGHILL RD,,4,14,1,EC2,,
89139885,2019,2019-04-03 17:48,14,3,4,E Tennessee St,,30.447463,-84.262718,107,,W,N MAGNOLIA DR,,2,14,1,EC2,,
89139891,2019,2019-04-03 18:08,14,2,2,N Duval St,,30.444702,-84.283088,,,,W TENNESSEE ST,,5,14,1,EC2,,
89139893,2019,2019-04-03 18:30,14,3,3,W Brevard St,,30.449069,-84.285917,58,,E,AQUILINA HOWELL ALWY,,5,14,1,EC2,,
89139886,2019,2019-04-03 18:40,14,2,2,Kissimmee St,,30.422573,-84.295083,,,,SAXON ST,,5,14,1,EC2,,
88060341,2019,2019-04-03 18:50,14,2,2,SB ON SR 261 (CAPITAL CIRCLE SE),,30.3816468270628,-84.236861448063,3,,W,WB SR 259 (TRAM ROAD),,3,14,1,EC2,,
89139890,2019,2019-04-03 20:12,14,2,2,N Monroe St,,30.47835,-84.299753,589,,W,SHARER RD,,5,14,1,EC2,,
89139888,2019,2019-04-03 20:22,14,2,2,W Tennessee St,,30.444754,-84.293962,,,,N DEWEY ST,,2,14,1,EC2,,
89139892,2019,2019-04-03 20:26,14,2,2,W Tennessee St,,30.444733,-84.283859,164,,E,N BRONOUGH ST,,3,14,1,EC2,,
87505307,2019,2019-04-03 22:00,13,1,2,MERIDIAN RD,,,,500,,N,EARLS SLOUGH CT,,4,13,1,EC2,,
89139897,2019,2019-04-03 23:42,14,2,2,E Magnolia Dr,,30.420054,-84.268191,223,,E,COUNTRY CLUB DR,,5,14,1,EC2,,
89139901,2019,2019-04-04 00:30,30,1,1,W Tharpe St,,30.463656,-84.318461,110,,W,OCALA RD,,5,30,10,EC2,,
89139895,2019,2019-04-04 00:53,14,2,2,CAMPBELL ST,,30.419898,-84.296169,,,,HOLTON ST,,5,14,1,EC2,,
89139896,2019,2019-04-04 02:15,36,1,2,Apalachee Pkwy,1103,30.437302,-84.265999,,,,,,9,36,2,EC2,,
89139906,2019,2019-04-04 08:27,14,2,2,Ocala Rd,,30.452278,-84.31729,92,,S,OSCEOLA RIDGE APARTMENTS,,5,14,1,EC2,,
89139908,2019,2019-04-04 08:33,14,2,2,E Tennessee St,,30.444645,-84.273341,252,,W,N FRANKLIN BLVD,,2,14,1,EC2,,
89139903,2019,2019-04-04 08:40,14,2,2,E SAINT AUGUSTINE ST,,30.43751,-84.278302,,,,S GADSDEN ST,,5,14,1,EC2,,
88592875,2019,2019-04-04 09:05,14,2,2,TRADITIONS WAY,860,30.441496,-84.297165,,,,,,9,14,2,EC2,,
89139905,2019,2019-04-04 09:11,14,2,2,W Tennessee St,,30.44474,-84.288298,76,,E,N MACOMB ST,,5,14,1,EC2,,
89139907,2019,2019-04-04 09:15,14,2,2,E Tennessee St,,30.444683,-84.279282,97,,E,N CALHOUN ST,,4,14,1,EC2,,
89139909,2019,2019-04-04 09:47,14,2,2,Capital Circle NE,,30.469549,-84.230785,57,,S,MICCOSUKEE RD,,5,14,1,EC2,,
87505310,2019,2019-04-04 09:50,14,2,2,US 319,,,,1050,,S,CR 259,,2,14,1,EC2,,
89139924,2019,2019-04-04 10:15,14,2,2,Capital Circle NE,2821,30.492612,-84.242664,,,,,,9,14,8,EC2,,
89139910,2019,2019-04-04 10:30,15,2,1,TIMBERWAY CT,788,30.450091,-84.323948,,,,,,9,15,8,EC2,,
89139920,2019,2019-04-04 10:40,10,1,2,HOLTON STREET,2500,30.416002,-84.29699,,,,,,9,10,1,EC2,,
89139911,2019,2019-04-04 11:20,39,1,1,N Magnolia Dr,243,30.44492,-84.261318,,,,,,9,39,2,EC2,,
89139913,2019,2019-04-04 11:24,14,2,2,Capital Circle NE,,30.461932,-84.22795,148,,S,AUSTIN DAVIS AVE,,2,14,1,EC2,,
89139912,2019,2019-04-04 11:48,14,2,3,E Lafayette St,,30.43423,-84.2559,559,,E,E INDIANHEAD DR,,5,14,1,EC2,,
88592876,2019,2019-04-04 12:23,14,2,2,STADIUM DR E,,30.435965,-84.301435,60,,E,W GAINES ST,,5,14,1,EC2,,
89139914,2019,2019-04-04 13:00,14,2,3,TIMBERLAND RD,,30.505012,-84.249528,29,,W,CAPITAL CIR NE,,5,14,1,EC2,,
89139917,2019,2019-04-04 14:06,14,2,2,Appleyard Dr,,30.453603,-84.337718,230,,N,W TENNESSEE ST,,5,14,1,EC2,,
89139922,2019,2019-04-04 14:16,14,2,2,W Tennessee St,,30.454655,-84.34163,,,,SENATOR PAT THOMAS BLVD,,5,14,1,EC2,,
87249934,2019,2019-04-04 14:25,14,2,2,US-27 (NORTH MONROE ST),,30.48685,-84.31595,500,,N,SESSIONS ROAD,,2,14,1,EC2,,
89139919,2019,2019-04-04 14:45,15,2,1,S Duval St,306,,,,,,,,9,15,8,EC2,,
87505315,2019,2019-04-04 14:50,14,2,2,US 90,,,,300,,W,LAGNIAPPE WAY,,3,14,1,EC2,,
89139923,2019,2019-04-04 15:43,14,2,2,Old Bainbridge Rd,,30.463757,-84.300163,52,,W,W THARPE ST,,4,14,1,EC2,,
89139925,2019,2019-04-04 16:05,14,2,2,W 4TH AVE,,30.453651,-84.283025,27,,E,N DUVAL ST,,5,14,1,EC2,,
89139927,2019,2019-04-04 16:59,14,2,2,THOMASWOOD DR,,30.496851,-84.253935,,,,THOMASVILLE RD,,2,14,1,EC2,,
89139926,2019,2019-04-04 17:00,14,2,2,N Monroe St,,30.457634,-84.280717,83,,S,E 7TH AVE,,5,14,1,EC2,,
87505334,2019,2019-04-04 17:00,38,1,1,MCCRACKEN RD,10300,,,0,,,,,5,38,2,EC2,,
87505313,2019,2019-04-04 17:10,14,2,2,N ML KING BLVD,,,,250,,S,CALL ST W,,5,14,1,EC2,,
